guests,Price_Night,Value_rate,amenities_count
2.0,230.0,4.6,17.0
2.0,31.0,4.8,32.0
2.0,8.0,4.8,22.0
6.0,254.0,4.8,56.0
3.0,33.0,4.8,28.0
2.0,274.0,4.6,40.0
2.0,187.0,4.7,12.0
2.0,91.0,4.6,7.0
2.0,60.0,4.8,20.0
2.0,173.0,5.0,42.0
4.0,58.0,4.8,34.0
6.0,167.0,5.0,23.0
4.0,51.0,4.7,25.0
2.0,21.0,4.6,8.0
2.0,45.0,5.0,13.0
8.0,35.0,4.6,26.0
2.0,76.0,4.8,14.0
16.0,278.0,4.4,12.0
2.0,33.0,4.6,33.0
2.0,119.0,4.7,25.0
2.0,123.0,4.8,29.0
4.0,50.0,4.6,17.0
4.0,228.0,5.0,59.0
2.0,37.0,4.6,6.0
2.0,147.0,4.8,21.0
2.0,143.0,4.9,38.0
2.0,75.0,4.8,16.0
3.0,11.0,4.7,22.0
2.0,25.0,4.8,30.0
2.0,153.0,4.9,35.0
4.0,181.0,4.8,61.0
2.0,88.0,4.8,34.0
2.0,85.0,4.8,42.0
3.0,82.0,4.8,27.0
2.0,49.0,4.7,12.0
16.0,1112.0,4.8,71.0
6.0,152.0,4.2,36.0
2.0,183.0,4.9,37.0
2.0,18.0,5.0,42.0
4.0,69.0,4.8,31.0
1.0,345.0,4.6,47.0
16.0,116.0,4.4,58.0
2.0,87.0,5.0,46.0
2.0,89.0,4.7,19.0
2.0,49.0,4.9,19.0
6.0,63.0,4.7,55.0
8.0,192.0,4.8,72.0
4.0,152.0,4.7,27.0
5.0,92.0,4.7,17.0
2.0,193.0,4.9,38.0
3.0,27.0,4.7,22.0
4.0,33.0,5.0,24.0
2.0,58.0,4.7,25.0
11.0,320.0,4.8,76.0
6.0,320.0,4.9,60.0
3.0,86.0,4.8,23.0
2.0,53.0,4.9,50.0
2.0,584.0,4.8,42.0
6.0,91.0,5.0,14.0
5.0,234.0,5.0,57.0
2.0,53.0,4.4,10.0
6.0,55.0,4.8,28.0
5.0,123.0,4.9,43.0
2.0,251.0,4.7,43.0
4.0,119.0,4.8,32.0
6.0,307.0,4.6,68.0
6.0,345.0,4.9,61.0
4.0,153.0,4.9,52.0
9.0,876.0,4.7,19.0
8.0,318.0,5.0,47.0
2.0,76.0,4.7,28.0
3.0,8.0,4.7,23.0
6.0,138.0,4.7,60.0
2.0,537.0,4.7,56.0
2.0,94.0,4.6,12.0
4.0,78.0,5.0,42.0
2.0,134.0,4.3,11.0
2.0,81.0,4.8,24.0
4.0,134.0,4.7,45.0
3.0,82.0,4.9,29.0
4.0,83.0,5.0,33.0
2.0,74.0,4.6,36.0
2.0,87.0,4.9,50.0
6.0,432.0,4.3,26.0
2.0,26.0,4.8,21.0
6.0,307.0,4.8,78.0
2.0,49.0,4.8,17.0
4.0,128.0,4.9,66.0
2.0,43.0,4.9,18.0
2.0,43.0,4.8,36.0
8.0,87.0,4.9,37.0
4.0,78.0,5.0,45.0
